TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance
TX000001,AC00128,14.09,4/11/2023 16:29,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70,Doctor,81,1,5112.21
TX000002,AC00455,376.24,6/27/2023 16:44,Debit,Houston,D000051,13.149.61.4,M052,ATM,68,Doctor,141,1,13758.91
TX000003,AC00019,126.29,7/10/2023 18:16,Debit,Mesa,D000235,215.97.143.157,M009,Online,19,Student,56,1,1122.35
TX000004,AC00070,184.5,5/5/2023 16:32,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26,Student,25,1,8569.06
TX000005,AC00411,13.45,10/16/2023 17:51,Credit,Atlanta,D000308,65.164.3.100,M091,Online,26,Student,198,1,7429.4
TX000006,AC00393,92.15,4/3/2023 17:15,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18,Student,172,1,781.68
TX000007,AC00199,7.08,2/15/2023 16:36,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71
TX000008,AC00069,171.42,5/8/2023 17:47,Credit,Indianapolis,D000500,92.214.76.157,M020,Branch,67,Retired,291,1,2796.24
TX000009,AC00135,106.23,3/21/2023 16:59,Credit,Detroit,D000690,24.148.92.177,M035,Branch,51,Engineer,86,1,9095.14
TX000010,AC00385,815.96,3/31/2023 16:06,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55,Doctor,120,1,1021.88
TX000011,AC00150,17.78,3/14/2023 16:46,Credit,Albuquerque,D000205,213.15.9.253,M073,Online,52,Engineer,59,1,7599.52
TX000012,AC00459,190.02,2/6/2023 17:30,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1,1528.81
TX000013,AC00392,494.52,6/7/2023 17:21,Credit,Mesa,D000032,210.98.198.143,M057,Branch,24,Student,111,1,1620.02
TX000014,AC00264,781.76,11/20/2023 16:39,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26,Student,123,1,189.69
TX000015,AC00085,166.99,2/13/2023 16:53,Debit,Louisville,D000309,188.124.181.12,M017,Online,18,Student,134,1,299.93
TX000016,AC00270,465.45,12/12/2023 16:23,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54
TX000017,AC00317,555.8,10/30/2023 16:52,Credit,Austin,D000671,53.218.177.171,M048,Branch,19,Student,158,1,1131.26
TX000018,AC00359,492.93,12/14/2023 18:32,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97
TX000019,AC00242,18.68,2/21/2023 16:56,Credit,Albuquerque,D000530,93.218.115.132,M054,Branch,59,Retired,106,1,7948.37
TX000020,AC00285,71.48,6/8/2023 18:18,Credit,Columbus,D000039,120.170.93.69,M039,Online,18,Student,169,1,6568.59
TX000021,AC00002,59.32,2/28/2023 16:36,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71,Retired,38,1,5750.89
TX000022,AC00014,85.77,8/11/2023 18:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19
TX000023,AC00095,52.2,6/6/2023 18:54,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93
TX000024,AC00453,345.84,5/2/2023 18:25,Debit,Fort Worth,D000162,191.82.103.198,M083,Online,22,Student,142,3,1402.5
TX000025,AC00241,145.54,3/2/2023 16:43,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21,Student,96,1,1930.96
TX000026,AC00041,7.49,10/20/2023 17:53,Credit,Houston,D000671,81.248.235.147,M043,Online,65,Retired,276,1,3634.67
TX000027,AC00441,246.93,4/17/2023 16:37,Debit,Miami,D000046,55.154.161.250,M029,ATM,23,Student,158,5,673.35
TX000028,AC00057,40.32,3/29/2023 16:42,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52
TX000029,AC00390,127.45,1/24/2023 16:18,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06
TX000030,AC00313,56.17,9/20/2023 16:55,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27,Student,283,1,1351.69
TX000031,AC00367,28.31,7/17/2023 17:49,Credit,Miami,D000587,35.67.21.23,M091,Online,59,Doctor,20,1,8334.47
TX000032,AC00291,59.12,2/6/2023 16:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29,Doctor,257,1,9823.64
TX000033,AC00060,396.45,9/25/2023 16:26,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15
TX000034,AC00359,877.81,3/13/2023 17:23,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22,Student,150,1,399.0
TX000035,AC00365,255.26,10/27/2023 16:42,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87
TX000036,AC00267,124.76,10/16/2023 16:32,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72
TX000037,AC00404,78.13,11/21/2023 16:58,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26,Student,145,1,900.61
TX000038,AC00202,649.28,3/2/2023 17:53,Debit,San Jose,D000448,73.108.76.238,M074,ATM,75,Retired,137,1,4875.86
TX000039,AC00478,795.31,10/12/2023 17:07,Debit,Mesa,D000077,49.29.37.185,M048,ATM,66,Doctor,90,2,7914.88
TX000040,AC00405,335.63,1/24/2023 17:17,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55,Retired,216,1,1019.39
TX000041,AC00421,328.47,7/31/2023 18:39,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63,Retired,119,1,4323.66
TX000042,AC00480,34.02,1/9/2023 16:13,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48
TX000043,AC00120,241.42,4/20/2023 18:57,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1,13357.02
TX000044,AC00117,55.32,4/12/2023 16:03,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19,Student,117,1,241.79
TX000045,AC00011,304.31,7/26/2023 16:52,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27,Student,33,1,868.61
TX000046,AC00401,435.27,10/4/2023 17:49,Debit,Chicago,D000297,197.162.55.147,M051,Branch,74,Retired,90,1,4673.28
TX000047,AC00282,164.49,12/13/2023 16:01,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26,Student,75,1,1509.27
TX000048,AC00439,510.24,10/9/2023 16:29,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19,Student,105,1,781.7
TX000049,AC00296,626.9,11/27/2023 16:45,Debit,Denver,D000284,93.146.251.20,M023,Online,26,Student,138,1,265.51
TX000050,AC00471,22.01,3/27/2023 16:45,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09
TX000051,AC00159,425.34,2/13/2023 16:59,Credit,Kansas City,D000661,139.23.212.102,M040,Online,69,Retired,121,1,3907.54
TX000052,AC00482,424.56,2/21/2023 17:45,Debit,Omaha,D000598,179.43.245.131,M015,Online,51,Engineer,264,1,5183.85
TX000053,AC00115,85.43,6/7/2023 16:45,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67,Doctor,145,1,14904.9
TX000054,AC00055,169.5,9/7/2023 16:51,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28,Student,142,1,918.88
TX000055,AC00419,104.63,3/29/2023 17:47,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62,Retired,90,1,4477.78
TX000056,AC00374,316.95,8/4/2023 17:53,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1,1324.03
TX000057,AC00271,60.54,12/14/2023 17:52,Credit,Columbus,D000462,1.198.76.182,M095,Branch,57,Retired,52,1,3534.93
TX000058,AC00456,292.56,3/3/2023 17:37,Credit,Dallas,D000311,198.73.211.114,M075,Branch,68,Retired,61,1,4638.37
TX000059,AC00143,386.52,6/9/2023 16:18,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61
TX000060,AC00427,112.07,10/2/2023 16:35,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23,Student,51,1,930.3
TX000061,AC00438,568.52,10/6/2023 18:44,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91
TX000062,AC00002,263.99,5/16/2023 16:07,Debit,Dallas,D000285,7.146.35.122,M087,Branch,79,Retired,227,2,4175.02
TX000063,AC00425,349.64,11/7/2023 16:48,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62
TX000064,AC00325,601.4,5/30/2023 17:43,Credit,Philadelphia,D000548,125.225.212.244,M001,Branch,56,Engineer,104,1,8458.29
TX000065,AC00434,5.77,11/2/2023 16:01,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12
TX000066,AC00242,201.33,3/29/2023 17:00,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07
TX000067,AC00319,298.42,4/25/2023 16:11,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56,Retired,225,1,3014.75
TX000068,AC00460,521.06,4/18/2023 18:40,Debit,Albuquerque,D000305,131.41.45.13,M063,Branch,25,Student,128,1,1951.42
TX000069,AC00461,117.28,2/9/2023 16:34,Credit,Austin,D000128,46.150.175.171,M057,Online,60,Engineer,16,1,3665.77
TX000070,AC00395,189.12,11/13/2023 16:42,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01
